Step number	Time	VolQplus_planeLVOT	VolQminus_planeLVOT	VolQplus_planeOutflow	VolQminus_planeOutflow	dt	exp_dt	max_velocity	max_pressure
210	0.119854	0	518909	46129.2	580756	0.001	9.31757e-06	6188.76	0.00770186
211	0.120854	0	517182	45088.9	584117	0.001	7.49227e-06	11162.5	0.00754329
212	0.121354	0	515753	44099.6	586568	0.0005	4.23681e-06	13597.5	0.00735581
213	0.121854	0	515263	43340.1	587664	0.0005	3.51086e-06	15700.1	0.0072143
214	0.122205	0	514963	42947.5	588837	0.000351086	2.95892e-06	8216.06	0.00708572
215	0.122556	0	514915	42681.3	589584	0.000351086	5.79676e-06	4144.35	0.00697845
216	0.123556	0	515447	42472.2	590235	0.001	1.13244e-05	4517.23	0.00698481
217	0.124556	0	516675	41931.7	591510	0.001	1.0645e-05	4236.42	0.00693323
218	0.125556	0	518754	41844.6	592688	0.001	1.13133e-05	9037.91	0.00683518
219	0.126556	0	521304	41205	592999	0.001	3.67256e-06	49077.4	0.0065965
220	0.126803	0	523817	40593.9	593268	0.000246699	1.2335e-06	20791.5	0.00652398
221	0.12718	0	524428	40276.2	593326	0.00037665	2.93526e-06	6793.62	0.00644426
222	0.127556	0	525485	39929.4	593424	0.00037665	9.17396e-06	3453.31	0.00638991
223	0.128556	0	526847	39621	593105	0.001	1.46595e-05	3440.76	0.00634972
224	0.129556	0	529923	38333.7	592179	0.001	1.39584e-05	31245.3	0.00631174
225	0.129855	0	532262	37216.5	592047	0.000298658	1.49329e-06	5786.02	0.00633682
226	0.130556	0	533171	36679.9	591402	0.000701342	1.01331e-05	13499.2	0.0064174
227	0.131056	0	534744	35964.5	591110	0.0005	3.36035e-06	11921.4	0.00661257
228	0.131556	0	535883	35664.9	591105	0.0005	3.94678e-06	12984.8	0.00708186
229	0.132346	0	537257	35389.7	590911	0.000789356	3.59374e-06	17606.7	0.00725189
230	0.132705	0	538578	34883.5	591039	0.000359374	2.68304e-06	5007.73	0.00743218
231	0.133064	0	539002	34538.6	590897	0.000359374	9.27528e-06	3632.02	0.00739493
232	0.134064	0	540020	34374.4	590544	0.001	1.31213e-05	3418.82	0.00727231
233	0.135064	0	541540	34464.9	590933	0.001	1.46685e-05	3411.93	0.00711247
234	0.136064	0	542387	34763.8	591499	0.001	1.47437e-05	3412.08	0.0069652
235	0.137064	0	542796	34957.5	591830	0.001	1.42544e-05	3412.56	0.00682798
236	0.138064	0	542864	35401	592240	0.001	1.27981e-05	3419.99	0.00669788
237	0.139064	0	542798	35585.9	592228	0.001	1.2276e-05	3422.2	0.0065699
238	0.140064	0	543341	35965.9	592228	0.001	1.22928e-05	5360.79	0.00644968
239	0.141064	0	544154	36153.3	591862	0.001	1.21422e-05	7649.15	0.00633976
240	0.142064	0	545027	36500.9	591489	0.001	6.05179e-06	13735.1	0.0062518
241	0.142564	0	545622	36996.3	591148	0.0005	3.64377e-06	8470.44	0.00611973
242	0.143064	0	546188	37225.4	590933	0.0005	6.48435e-06	5354.44	0.00614256
243	0.144064	0	546924	37617.2	590902	0.001	1.30953e-05	10928.7	0.00613701
244	0.145064	0	548127	38128.2	590424	0.001	7.71206e-06	10498.4	0.0060831
245	0.146064	0	549382	38613	589910	0.001	7.08373e-06	13111.5	0.00600767
246	0.147064	0	550535	38948.6	589289	0.001	6.02169e-06	12278.9	0.00593802
247	0.148064	6.81625	551609	38999.7	588450	0.001	6.22839e-06	13347.2	0.00588008
248	0.149064	7.01011	552526	38824.4	587476	0.001	5.78727e-06	10082.1	0.00583281
249	0.150064	7.2117	552859	38364.4	586315	0.001	7.73261e-06	13867	0.00602848
250	0.151064	7.4362	552735	37731.3	585083	0.001	5.38356e-06	12721	0.00634662
251	0.152064	7.67113	552243	37024.5	583845	0.001	5.92871e-06	13903	0.00664315
252	0.152564	7.90484	551203	36416.2	582717	0.0005	4.29497e-06	7102.37	0.00715268
253	0.153064	8.02525	550292	36265.2	582313	0.0005	8.45366e-06	5802.38	0.00731092
254	0.154064	8.14853	549513	35979.1	581820	0.001	1.0285e-05	8819.28	0.00728476
255	0.155064	8.39139	547342	36028.2	581327	0.001	6.99561e-06	9931.9	0.00713886
256	0.156064	5.1113	544547	36473.3	581116	0.001	6.08544e-06	10186.8	0.00689642
257	0.157064	5.65574	541402	37404.9	581239	0.001	5.88658e-06	10480	0.00661498
258	0.158064	6.22764	538063	38377.8	581213	0.001	5.47039e-06	8873.92	0.0064133
259	0.159064	6.77917	534593	39784.6	581383	0.001	6.17271e-06	6436.83	0.00653282
260	0.160064	0.773085	531505	40847.4	580961	0.001	7.78077e-06	5820.2	0.00655582
261	0.161064	0.135906	528670	42043.7	580402	0.001	9.35407e-06	5690.36	0.00645366
262	0.162064	0.986204	526066	42905.8	579270	0.001	9.4796e-06	5252.77	0.00630842
263	0.163064	1.79335	523574	43199	577354	0.001	1.0249e-05	5313.69	0.00614223
264	0.164064	2.54291	521261	43150.8	574914	0.001	1.01703e-05	5345.61	0.0059652
265	0.165064	3.25737	519049	43016.9	572238	0.001	1.14028e-05	6609.14	0.00578424
266	0.166064	3.9197	516953	42416.2	568973	0.001	1.14251e-05	5178.93	0.00560755
267	0.167064	4.57231	514868	42109.5	565906	0.001	1.68018e-05	3389.81	0.00542853
268	0.168064	5.19802	512799	41658.4	562619	0.001	1.6938e-05	3156.15	0.0052614
269	0.169064	5.80936	510728	41307.1	559365	0.001	1.69485e-05	3138.91	0.00510517
